date,id,total_current_asset,total_current_liab
2018-03-31,77574,98046.0,81589.0
2018-06-30,77574,103512.0,81521.0
2018-09-30,77574,107246.0,89746.0
2018-12-31,77574,97482.0,77813.0
2019-03-31,77574,95990.0,82844.0
2019-06-30,77574,93096.0,84317.0
2019-09-30,77574,86186.0,75165.0
2019-12-31,77574,92689.0,79624.0
2020-03-31,77574,84973.0,76243.0
2020-06-30,77574,86201.0,69393.0
2020-09-30,77574,92311.0,70541.0
2020-12-31,77574,90695.0,73951.0
2021-03-31,77574,99559.0,76431.0
2021-06-30,77574,111682.0,84502.0
2021-09-30,77574,131570.0,104230.0
2021-12-31,77574,128765.0,95547.0
2022-03-31,77574,152021.0,113298.0
2022-06-30,77574,165224.0,118678.0
2022-09-30,77574,163318.0,118672.0
2022-12-31,77574,165937.0,121311.0
2023-03-31,77574,150573.0,102677.0
2023-06-30,77574,140486.0,96129.0
